id,created_at,channel,subject,body,customer_email,first_response_at,resolved_at,satisfaction_score
241007,2026-06-01T07:41:22Z,chat,Wholesale inquiry,"I run a small boutique in Boulder and would love to stock Verabloom. Who handles wholesale? I'm at diego.rhodes70@gmail.com if you need me.

Thanks,
Diego",diego.rhodes70@gmail.com,2026-06-01T09:44:22Z,2026-06-01T15:35:22Z,
241014,2026-06-01T08:20:28Z,chat,Says delivered — it isn't,"Good morning, It's marked as delivered since Wednesday morning and I've checked everywhere twice. #VB-49618. What now? If it's gone for good, I'd rather just get a refund. The order's under derek.hayes827@outlook.com.

Regards,
Derek Hayes",derek.hayes827@outlook.com,2026-06-01T13:59:28Z,2026-06-02T06:44:28Z,1
241023,2026-06-01T08:28:23Z,email,Any update?,Any update on my order #VB-67747? No word since the order went through on June 14. The order's under emma.silva585@yahoo.com.,emma.silva585@yahoo.com,2026-06-01T13:47:23Z,2026-06-01T17:34:23Z,4
241024,2026-06-01T10:56:41Z,chat,Dented tin,"Good afternoon, The Marine Collagen tin came badly dented — it's damaged enough that the seal popped. Not comfortable using it. #VB-53600. I'm at layla.foster431@hotmail.com if you need me.

Regards,
Layla Foster",layla.foster431@hotmail.com,2026-06-01T19:12:41Z,2026-06-02T15:02:41Z,
241032,2026-06-01T12:59:08Z,email,Is my package coming? — #VB-72568,"Just checking in — where's my order? #VB-72568. The porch has been empty all week 😕 The order's under willa.dupont750@icloud.com.

Cheers,
Willa",willa.dupont750@icloud.com,2026-06-01T15:40:08Z,2026-06-01T17:35:08Z,
241035,2026-06-01T14:42:02Z,email,Which shade?,"I'm fair with cool undertones — which shade of the Tinted Mineral SPF should I go for? You can reach me at andre.dupont731@yahoo.com.

Regards,
Andre Dupont",andre.dupont731@yahoo.com,2026-06-01T17:39:02Z,2026-06-01T23:24:02Z,
241042,2026-06-01T16:03:03Z,email,Promo expired early?,"The discount from your June newsletter says expired, but the fine print says the 11th. Can you honor it? Everything's under felix.rivera178@yahoo.com.

Best,
Felix Rivera",felix.rivera178@yahoo.com,2026-06-01T18:28:03Z,2026-06-01T20:21:03Z,5
241044,2026-06-01T16:33:50Z,chat,Price dropped a day later,"Hi there, The Biotin+ Gummies dropped in price the day after I paid full. Any chance of a partial refund on #VB-70314? Everything's under lucy.holloway265@icloud.com.

Cheers,
Lucy",lucy.holloway265@icloud.com,2026-06-02T00:49:50Z,2026-06-02T17:39:50Z,
241047,2026-06-01T16:35:24Z,chat,Still waiting,"Hi there, Still waiting for my order — #VB-81130, placed June 8. Any idea when it goes out? You can reach me at amara.foster894@gmail.com.

Thanks,
Amara",amara.foster894@gmail.com,2026-06-01T18:21:24Z,2026-06-01T19:35:24Z,
241051,2026-06-01T18:30:36Z,email,Skip my July box,"Good morning, Can I skip my July Marine Collagen Capsules box? I still have most of this one left. You can reach me at selena.winslow70@hotmail.com. The order ref is #VB-65689.",selena.winslow70@hotmail.com,2026-06-02T03:13:36Z,2026-06-02T16:06:36Z,5
241055,2026-06-01T18:49:49Z,email,Packaging feedback,"Good afternoon, Genuine compliment: the June box used way less plastic. Is that here to stay? You can reach me at selena.alvarez390@outlook.com.

Best,
Selena Alvarez",selena.alvarez390@outlook.com,2026-06-02T04:34:49Z,2026-06-03T08:13:49Z,5
241057,2026-06-01T19:48:37Z,email,Pump problem,"My Renewal Serum pump only gives a half press and then jams — basically not working two weeks in. #VB-38643. Would love a replacement, or a refund failing that. You can reach me at miguel.ferris364@hotmail.com.

Sincerely,
Miguel",miguel.ferris364@hotmail.com,2026-06-01T21:26:37Z,2026-06-02T01:12:37Z,4
241059,2026-06-01T20:14:03Z,chat,Stacking up,"Loving the Ashwagandha Softgels, but it's stacking up on my shelf. Can we pause the subscription for a cycle? The order's under hana.hayes294@gmail.com.

Regards,
Hana Hayes",hana.hayes294@gmail.com,2026-06-01T23:13:03Z,2026-06-02T03:38:03Z,5
241062,2026-06-01T20:24:11Z,email,Any update? — #VB-75010,"Good morning, Any update on my order #VB-75010? No word since the order went through on June 11. It was placed with stella.ramsey429@icloud.com.

Cheers,
Stella",stella.ramsey429@icloud.com,2026-06-01T22:43:11Z,2026-06-02T00:24:11Z,3
241070,2026-06-01T20:24:26Z,chat,Order overdue,Hasn't arrived yet — I ordered the Overnight Repair Mask June 14 and the estimate said by June 17. #VB-67701. It was placed with priya.haddad330@outlook.com.,priya.haddad330@outlook.com,2026-06-02T03:18:26Z,2026-06-02T08:12:26Z,
241072,2026-06-02T08:44:36Z,email,Renewal Serum pump stopped working,"About 5 days in, the pump on my Renewal Serum stopped working — it clicks but nothing comes out. #VB-61433. A refund works if replacements are out of the question. It was placed with leah.morales365@gmail.com.

Best,
Leah Morales",leah.morales365@gmail.com,2026-06-02T10:09:36Z,2026-06-02T13:38:36Z,4
241074,2026-06-02T10:54:38Z,chat,Order overdue,"Hasn't arrived yet — I ordered the Overnight Repair Mask June 13 and the estimate said by June 24. #VB-41385. It's headed to 138 Dogwood Drive, Plano. The order's under hana.whitfield503@proton.me.

Thanks,
Hana",hana.whitfield503@proton.me,2026-06-02T18:52:38Z,2026-06-03T00:30:38Z,4
241083,2026-06-02T10:58:13Z,email,Tracking not updating,"Good morning, The tracking link for #VB-40271 has said the same thing since Tuesday. Is it actually on the way? The order's under ellie.reed888@yahoo.com.

Regards,
Ellie Reed",ellie.reed888@yahoo.com,2026-06-02T17:15:13Z,2026-06-02T21:40:13Z,
241084,2026-06-02T11:07:12Z,email,Order status check,"Could I get an order status update on #VB-45978? The site said 3–5 business days and it's been 11. It was placed with nina.foster256@outlook.com.

Cheers,
Nina",nina.foster256@outlook.com,2026-06-02T17:35:12Z,2026-06-02T22:13:12Z,
241088,2026-06-02T12:42:35Z,email,Update my address,"Good afternoon, I just moved — please update my address to 522 Juniper Drive, Denver. The old one on file is 299 Magnolia Boulevard, Portland. I'm at ethan.chen17@hotmail.com if you need me. The order ref is #VB-73435.

Regards,
Ethan Chen",ethan.chen17@hotmail.com,2026-06-02T15:39:35Z,2026-06-02T18:18:35Z,1
241095,2026-06-02T13:12:34Z,chat,Swap for the lighter one,"Would love to exchange my Tinted Mineral SPF for the lighter one — used it once. #VB-21653. The order's under stella.ramsey117@proton.me.

Best,
Stella Ramsey",stella.ramsey117@proton.me,2026-06-02T17:41:34Z,2026-06-03T04:30:34Z,5
241099,2026-06-02T14:06:02Z,email,Stocking your line,"Buyer for a three-store apothecary chain here — is Verabloom open to wholesale partners this year? You can reach me at isabella.cole543@outlook.com.

Regards,
Isabella Cole",isabella.cole543@outlook.com,2026-06-02T16:23:02Z,2026-06-02T22:54:02Z,5
241107,2026-06-02T16:32:00Z,chat,Can't log in,"Good morning, Can't log in since the site update. I've tried diego.rhodes70@gmail.com and my older diegor76@yahoo.com — neither takes the reset.

Cheers,
Diego",diego.rhodes70@gmail.com,2026-06-03T03:17:00Z,2026-06-04T01:56:00Z,4
241111,2026-06-02T17:26:41Z,email,Creator collab,"I'm a skincare creator (120k on TikTok) and genuinely use the Biotin+ Gummies. Do you work with creators? You can reach me at avery.kim315@gmail.com.

Cheers,
Avery",avery.kim315@gmail.com,2026-06-02T20:47:41Z,2026-06-03T05:44:41Z,4
